"filename", "language", "JSON with Comments", "HTML", "Markdown", "JSON", "TypeScript", "PostCSS", "comment", "blank", "total"
"c:\TPPROGRA4\GestorDeDepositos\README.md", "Markdown", 0, 0, 36, 0, 0, 0, 0, 24, 60
"c:\TPPROGRA4\GestorDeDepositos\angular.json", "JSON", 0, 0, 0, 92, 0, 0, 0, 1, 93
"c:\TPPROGRA4\GestorDeDepositos\package-lock.json", "JSON", 0, 0, 0, 9707, 0, 0, 0, 1, 9708
"c:\TPPROGRA4\GestorDeDepositos\package.json", "JSON", 0, 0, 0, 48, 0, 0, 0, 1, 49
"c:\TPPROGRA4\GestorDeDepositos\src\app\app.config.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\TPPROGRA4\GestorDeDepositos\src\app\app.css", "PostCSS", 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\TPPROGRA4\GestorDeDepositos\src\app\app.html", "HTML", 0, 4, 0, 0, 0, 0, 0, 3, 7
"c:\TPPROGRA4\GestorDeDepositos\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 5, 40
"c:\TPPROGRA4\GestorDeDepositos\src\app\app.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 4, 24
"c:\TPPROGRA4\GestorDeDepositos\src\app\app.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\constants\baseUrl.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\enums\estados-de-orden.model.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\guards\auth.guard.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 10, 45
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\guards\role.guard.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 6, 31
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\interceptors\jwt.interceptor.ts", "TypeScript", 0, 0, 0, 0, 65, 0, 0, 18, 83
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\models\Producto\producto.model.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\models\auth\login-request.model.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\models\auth\login-response.model.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\models\cliente\cliente.model.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\models\inventario\inventario.model.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 1, 15
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\models\movimiento-inventario\movimiento-inventario.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 2, 16
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\models\orden-despacho\detalle-despacho.model.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\models\orden-despacho\orden-despacho.model.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\models\orden-recepcion\detalle-recepcion.model.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\models\orden-recepcion\orden-recepcion-cabecera.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\models\orden-recepcion\orden-recepcion.model.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\models\proveedor\proveedor.model.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\models\ubicacion\reporte-ubicacion.model.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\models\ubicacion\ubicacion.model.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\models\usuario\usuario.model.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\models\zona\zona.model.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\routes\cliente-routes.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\routes\inventario-routes.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\routes\ordenDespacho-routes.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\routes\ordenRecepcion-routes.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\routes\producto-routes.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 2, 11
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\routes\proveedor-routes.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\routes\ubicacion-routes.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\routes\usuario-routes.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 3, 12
